| Testphase                                  | Testaktivität                                             | Erläuterung der Testaktivität                                                                                                                                                    |
|--------------------------------------------|-----------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Anforderungsanalyse & Testplanung          | Analyse der Anforderungen auf Testbarkeit                 | Überprüfung ob Anforderungen klar, vollständig und messbar formuliert sind, sodass sie validiert werden können.                                                                    |
| Anforderungsanalyse & Testplanung          | Klärung von Unklarheiten                                  | Rücksprache mit Fachabteilungen, Product Ownern oder Entwicklern, um Unklarheiten und widersprüchliche Formulierungen zu präzisieren.                                              |
| Anforderungsanalyse & Testplanung          | Definition der Testziele                                  | Festlegen, welche Aspekte und Funktionen der Software getestet werden sollen sowie welche Qualitätskriterien im Fokus stehen.                                                      |
| Anforderungsanalyse & Testplanung          | Erarbeitung der Teststrategie                             | Entwicklung eines übergeordneten Konzepts, das Testmethoden, -stufen und Vorgehensweisen für den gesamten Testprozess definiert.                                                   |
| Anforderungsanalyse & Testplanung          | Festlegung des Testumfangs und der Testarten              | Bestimmung, welche Funktionen und Qualitätsmerkmale (z. B. funktional, Performance, Sicherheit) getestet werden und wie.                                                           |
| Anforderungsanalyse & Testplanung          | Erstellung eines Testplans                                | Dokumentation von Zeitplan, Verantwortlichkeiten, Ressourcen und Meilensteinen für den Testprozess.                                                                                |
| Anforderungsanalyse & Testplanung          | Aufwandsschätzung und Ressourcenplanung                   | Abschätzung des Testaufwands sowie Planung der notwendigen Ressourcen wie Personal, Hardware und Softwaretools.                                                                    |
| Anforderungsanalyse & Testplanung          | Risikoanalyse und Priorisierung                           | Identifikation potenzieller Risiken, Bewertung von Wahrscheinlichkeit und Auswirkungen sowie Priorisierung der Testaktivitäten basierend auf diesen Bewertungen.                    |
| Anforderungsanalyse & Testplanung          | Auswahl geeigneter Testwerkzeuge                          | Evaluierung und Entscheidung für Tools, die den Testprozess (z. B. Testmanagement, Automatisierung oder Performance-Tools) unterstützen.                                           |
| Anforderungsanalyse & Testplanung          | Planung der Testumgebung                                  | Festlegen, welche Testsysteme, Betriebssysteme und Netzwerkinfrastrukturen benötigt werden, um realitätsnahe Tests durchzuführen.                                                  |
| Anforderungsanalyse & Testplanung          | Festlegung von Metriken, Eintritts- und Austrittskriterien| Definition von Kennzahlen sowie Kriterien, die den Beginn und Abschluss von Testphasen festlegen.                                                                                  |
| Anforderungsanalyse & Testplanung          | Planung von Kommunikation und Reporting                   | Vereinbarung von regelmäßigen Statusmeetings, Berichten und Kommunikationswegen zwischen Testteam, Entwicklern und Stakeholdern.                                                   |
| Testentwurf & Testvorbereitung             | Identifikation der Testbedingungen                        | Ableitung konkreter Testbedingungen aus den Anforderungen, um festzulegen, was geprüft werden muss.                                                                                |
| Testentwurf & Testvorbereitung             | Festlegung von Akzeptanzkriterien                         | Definition messbarer Kriterien, anhand derer entschieden wird, ob eine Anforderung erfüllt ist.                                                                                    |
| Testentwurf & Testvorbereitung             | Entwurf und Erstellung von Testfällen                     | Konzeption und detaillierte Dokumentation einzelner Testfälle, die die zu prüfenden Funktionen und Szenarien beschreiben.                                                          |
| Testentwurf & Testvorbereitung             | Entwicklung von Testszenarien (Testsuiten)                | Zusammenstellung einzelner Testfälle zu umfassenden Szenarien, um End-to-End-Abläufe und die Interaktion mehrerer Funktionen zu testen.                                             |
| Testentwurf & Testvorbereitung             | Vorbereitung von Testdaten                                | Erstellung oder Auswahl passender Datensätze (gültige, Grenz- und Negativwerte) als Eingabe für die Testfälle.                                                                     |
| Testentwurf & Testvorbereitung             | Aufbau und Einrichtung der Testumgebung                   | Installation und Konfiguration der notwendigen Hardware, Software und Netzwerke, um eine realitätsnahe Testumgebung zu schaffen.                                                   |
| Testentwurf & Testvorbereitung             | Verifizierung der Testumgebung                            | Durchführung von Smoke-Tests oder ähnlichen Checks, um sicherzustellen, dass die Testumgebung funktionsfähig ist.                                                                  |
| Testentwurf & Testvorbereitung             | Definition von Vorbedingungen                             | Festlegung aller notwendigen Voraussetzungen (z. B. existierende Daten, Benutzerkonten) vor Ausführung der Testfälle.                                                               |
| Testentwurf & Testvorbereitung             | Durchführung von Testfall-Reviews                         | Überprüfung und Abstimmung der Testfälle durch Kollegen oder Experten, um Vollständigkeit und Verständlichkeit zu sichern.                                                         |
| Testentwurf & Testvorbereitung             | Priorisierung der Testfälle                               | Bewertung der Testfälle nach Kritikalität, sodass besonders risikobehaftete Funktionen vorrangig getestet werden.                                                                  |
| Testentwurf & Testvorbereitung             | Automatisierung von Testfällen                            | Identifizierung von Testfällen, die für wiederholte Prüfungen geeignet sind, und Umsetzung in automatisierte Testscripte.                                                          |
| Testentwurf & Testvorbereitung             | Konfiguration der Testwerkzeuge                           | Einrichtung und Anpassung der Tools, die für Testmanagement, Fehlererfassung und Automatisierung benötigt werden.                                                                  |
| Testentwurf & Testvorbereitung             | Vorbereitung von Performance-Tests                        | Erstellung von Lastprofilen und Skripten, um die Systemleistung unter simulierten Benutzerlasten zu messen.                                                                        |
| Testentwurf & Testvorbereitung             | Vorbereitung von Sicherheitstests                         | Planung von Testszenarien zur Identifikation von Sicherheitslücken und Auswahl passender Tools (z. B. für Penetrationstests oder Fuzzing).                                         |
| Testdurchführung                           | Durchführung manueller Testfälle                          | Manuelle Ausführung der geplanten Testfälle, bei der Tester die Schritte durchführen und die Ergebnisse beobachten.                                                                |
| Testdurchführung                           | Ausführung automatisierter Tests                          | Starten und Überwachen von automatisierten Testskripten, häufig als Teil von Continuous-Integration-Prozessen.                                                                     |
| Testdurchführung                           | Dokumentation der Testergebnisse                          | Sorgfältiges Protokollieren der Ergebnisse und Beobachtungen während der Testdurchführung, inklusive Screenshots und Logdateien.                                                   |
| Testdurchführung                           | Vergleich von Soll- und Ist-Ergebnis                      | Überprüfung, ob das beobachtete Verhalten den erwarteten Ergebnissen entspricht, und Analyse von Abweichungen.                                                                     |
